S-19C Kaldi  10 0.193548 S:  3, I:  1, D:  2
S-19C Google 10 0.451613 S:  5, I:  0, D:  9
S-19C Kaldi  11 0.648148 S: 16, I:  7, D: 12
S-19C Google 11 0.592593 S: 18, I:  1, D: 13
S-20D Kaldi   0 0.383065 S: 45, I: 11, D: 39
S-20D Google  0 0.495968 S: 59, I:  1, D: 63
S-20D Kaldi   1 0.256667 S: 37, I:  7, D: 33
S-20D Google  1 0.400000 S: 69, I:  3, D: 48
S-20D Kaldi   2 0.304348 S: 58, I:  4, D: 29
S-20D Google  2 0.454849 S: 55, I:  1, D: 80
S-20D Kaldi   3 0.373874 S: 48, I:  1, D: 34
S-20D Google  3 0.405405 S: 42, I:  4, D: 44
S-20D Kaldi   4 0.274262 S:123, I: 25, D: 47
S-20D Google  4 0.353024 S:135, I: 14, D:102
S-20D Kaldi   5 0.272500 S: 56, I: 16, D: 37
S-20D Google  5 0.385000 S: 67, I:  7, D: 80
S-20D Kaldi   6 1.000000 S: 12, I:  9, D:  1
S-20D Google  6 0.681818 S:  4, I:  0, D: 11
S-20D Kaldi   7 0.641026 S: 14, I:  8, D:  3
S-20D Google  7 0.743590 S: 14, I:  3, D: 12
S-20D Kaldi   8 0.315789 S:  3, I:  0, D:  3
S-20D Google  8 0.473684 S:  6, I:  0, D:  3
S-20D Kaldi   9 0.561644 S: 16, I: 14, D: 11
S-20D Google  9 0.479452 S: 18, I:  5, D: 12
S-20D Kaldi  10 0.505495 S: 23, I: 14, D:  9
S-20D Google 10 0.472527 S: 28, I:  2, D: 13
S-20D Kaldi  11 0.367647 S: 19, I:  2, D:  4
S-20D Google 11 0.514706 S: 25, I:  2, D:  8
S-15C Kaldi   0 0.182979 S: 28, I: 10, D:  5
S-15C Google  0 0.306383 S: 38, I:  2, D: 32
S-15C Kaldi   1 0.167969 S: 27, I:  5, D: 11
S-15C Google  1 0.257812 S: 34, I:  3, D: 29
S-15C Kaldi   2 0.185930 S: 16, I: 10, D: 11
S-15C Google  2 0.301508 S: 30, I:  8, D: 22
S-15C Kaldi   3 0.160550 S: 22, I:  5, D:  8
S-15C Google  3 0.261468 S: 25, I:  5, D: 27
S-15C Kaldi   4 0.122494 S: 34, I: 10, D: 11
S-15C Google  4 0.178174 S: 35, I:  5, D: 40
